code,name,parent_assembly_code,description
055-023-024,"Seal Kit - Cylinder, Wheelchair Lift",055-023,
055-023-025,"Extension - Hold Down, Wheelchair Lift",055-023,
055-023-026,"Face Plate - Control, Wheelchair Lift",055-023,
055-023-027,Pressure Relief Valve - Wheelchair Lift,055-023,
055-023-028,"Spring - Tension, Wheelchair Lift",055-023,
055-023-029,"Spring - Lift Plate, Wheelchair Lift",055-023,
055-023-030,"Shield - Safety, Wheelchair Lift",055-023,
055-023-031,Switch - Wheelchair Lift,055-023,
055-023-032,Cylinder - Wheelchair Lift,055-023,
055-023-033,"Spring - Release, Wheelchair Lift",055-023,
055-023-034,"Cover - Lift Arm, Wheelchair Lift",055-023,
055-023-035,"Switch - Pressure, Wheelchair Lift",055-023,
055-023-036,Control Module - Wheelchair Lift,055-023,
055-023-037,"Cover - Motor, Wheelchair Lift",055-023,
055-023-038,"Spring - Lift, Wheelchair Lift",055-023,
055-023-039,Piston - Wheelchair Lift,055-023,
055-023-040,"Switch - Limit, Wheelchair Lift",055-023,
055-023-041,Pipe - Wheelchair Lift,055-023,
055-023-042,Roller - Wheelchair Lift,055-023,
055-023-043,Wiring Harness - Wheelchair Lift,055-023,
055-023-044,Motor - Wheelchair Lift,055-023,
055-023-045,"Pin - Safety Lock, Wheelchair Lift",055-023,
055-023-046,Arm - Wheelchair Lift,055-023,
055-023-047,Actuator - Wheelchair Lift,055-023,
055-023-048,"Adapter - Cylinder, Wheelchair Lift",055-023,
055-023-049,"Diode - Controls, Wheelchair Lift",055-023,
055-023-050,"Pump - Manual, Wheelchair Lift",055-023,
055-023-051,Bearing - Wheelchair Lift,055-023,
055-023-052,Stow Block - Wheelchair Lift,055-023,
055-023-053,"Circuit Board - Controls, Wheelchair Lift",055-023,
055-023-054,Bracket - Wheelchair Lift,055-023,
055-023-055,"Bracket - Latch, Wheelchair Lift",055-023,
055-023-056,"Bracket - Bridgeplate, Wheelchair Lift",055-023,
055-023-057,Plumbing Kit - Wheelchair Lift,055-023,
055-023-058,Bumper - Wheelchair Lift,055-023,
055-023-059,Bushing - Wheelchair Lift,055-023,
055-023-060,Cam - Wheelchair Lift,055-023,
055-023-061,"Guard - Chain, Wheelchair Lift",055-023,
055-023-062,"Clip - Control Mounting, Wheelchair Lift",055-023,
055-023-063,"Pump - Main, Wheelchair Lift",055-023,
055-023-064,Channel - Wheelchair Lift,055-023,
055-023-065,Lift Assembly - Wheelchair Lift,055-023,
055-023-066,Gear - Wheelchair Lift,055-023,
055-023-067,"Guard - Sensor, Wheelchair Lift",055-023,
055-023-068,"Bracket - Handrail, Wheelchair Lift",055-023,
055-023-069,Installation Kit - Wheelchair Lift,055-023,
055-023-070,Sensor - Wheelchair Lift,055-023,
055-023-071,"Service Kit - Pump, Wheelchair Lift",055-023,
055-023-072,Padding - Wheelchair Lift,055-023,
055-023-073,Spool Valve - Wheelchair Lift,055-023,
055-023-074,Latch - Wheelchair Lift,055-023,
055-023-075,Lever - Wheelchair Lift,055-023,
055-023-076,Linkage - Wheelchair Lift,055-023,
055-023-077,"Support - Linkage, Wheelchair Lift",055-023,
055-023-078,Barrier - Wheelchair Lift,055-023,
055-023-079,"Pin - Linkage, Wheelchair Lift",055-023,
055-023-080,"Pivot - Barrier, Wheelchair Lift",055-023,
059-001-071,Washer - Jaw Pin,059-001,
059-001-072,Fifth Wheel Assembly - Lower Elevating,059-001,
071-015-003,Screws - Front Wall,071-015,
071-015-004,Screw - Rear Wall,071-015,
071-015-005,Screws - Door,071-015,
071-015-006,Screws - Trailer Floor,071-015,
071-016-000,Rivets - All,071-016,
071-016-001,Rivets - Roof,071-016,
071-016-002,Rivets - Side Wall,071-016,
071-016-003,Rivets - Front Wall,071-016,
071-016-004,Rivet - Rear Wall,071-016,
071-016-005,Rivets - Door,071-016,
071-016-006,Rivet - Multiple Locations,071-016,
071-017-000,"Tappet - Nylon, All",071-017,
071-017-001,"Tappet - Nylon, Roof",071-017,
071-017-002,"Tappet - Nylon, Side Wall",071-017,
071-017-003,"Tappet - Nylon, Front Wall",071-017,
071-017-004,"Tappet - Nylon, Rear Wall",071-017,
071-017-005,"Tappet - Nylon, Door",071-017,
071-017-006,Tappet - Multiple Locations,071-017,
071-019-000,Insulation - Body,071-019,
071-019-001,Foam In Place - All,071-019,
071-019-002,Foam In Place - Roof,071-019,
071-019-003,Foam In Place - Side Wall,071-019,
071-019-004,Foam In Place - Front Wall,071-019,
071-019-005,Foam In Place - Rear Wall,071-019,
071-019-006,Foam In Place - Door,071-019,
071-019-007,Foam In Place - Floor,071-019,
071-019-008,Foam Block - All,071-019,
071-019-009,Foam Block - Roof,071-019,
071-019-010,Foam Block - Side Wall,071-019,
071-019-011,Foam Block - Front Wall,071-019,
071-019-012,Foam Block - Rear Wall,071-019,
071-019-013,Foam Block - Door,071-019,
071-019-014,Foam Block - Floor,071-019,
071-019-015,Fiberglass - All,071-019,
071-019-016,Fiberglass - Roof,071-019,
071-019-017,Fiberglass - Side Wall,071-019,
071-019-018,Fiberglass - Front Wall,071-019,
071-019-019,Fiberglass - Rear Wall,071-019,
071-019-020,Fiberglass - Door,071-019,
071-019-021,Fiberglass - Floor,071-019,
071-019-022,Polystyrene Spacers - All,071-019,
071-019-023,Polystyrene Spacers - Roof,071-019,
071-019-024,Polystyrene Spacers - Side Wall,071-019,
071-019-025,"Spacers - Polystyrene, Front Wall",071-019,
071-019-026,"Spacers - Polystyrene, Rear Wall",071-019,
071-019-027,"Spacers - Polystyrene, Door",071-019,
071-019-028,"Spacers - Polystyrene, Floor",071-019,
071-019-029,Battens - All,071-019,
071-019-030,Batten - Roof,071-019,
071-019-031,Batten - Side Wall,071-019,
071-019-032,Batten - Rear Wall,071-019,
071-019-033,Batten - Front Wall,071-019,
071-019-034,Batten - Door,071-019,
071-019-035,Batten - Floor,071-019,
071-020-000,Flooring Assembly - Removable,071-020,
071-020-001,Panel - Flooring Section,071-020,
071-020-002,"Channel - End Retaining, Flooring Section",071-020,
071-020-003,Panel - Vertical,071-020,
071-020-004,Trolley Assembly - Right,071-020,
071-020-005,Trolley Assembly - Left,071-020,
071-020-006,Latch - Trolley Assembly,071-020,
071-020-007,"Rope - Latch, Trolley Assembly",071-020,
071-020-008,Bearing Assembly - Trolley,071-020,
071-020-009,Spring Box - Right,071-020,
071-020-010,Spring Box - Left,071-020,
071-020-011,Spring - Counter Balance,071-020,
071-020-012,Bumper - Dampening,071-020,
071-020-013,"Bracket - End Channel, Load Retaining",071-020,
071-020-014,Latch - Hold-Down,071-020,
071-020-015,Load Stops - Adjustable,071-020,
071-020-016,Track - Guide,071-020,
094-001-034,"Adapter - Downstream End, Crossover Tube",094-001,
094-001-035,"Cap - Protector, Crossover Tube",094-001,
094-001-036,"Hardware, Mounting- Right Crossover Tube Assembly with Fittings",094-001,
094-001-037,"Coupling - Flange, Crossover",094-001,
094-001-038,"Gasket - Flange Coupling, Crossover",094-001,
094-001-039,"Hardware, Mounting - Crossover Flange Coupling",094-001,
094-001-040,"Coupling - Flexible Hose Joint, Crossover",094-001,
094-001-041,"Hardware, Mounting - Crossover Flexible Hose Joint Coupling",094-001,
094-002-000,Line - Product Loading,094-002,
094-002-001,Hose Assembly W/Fittings - Loading,094-002,
094-002-002,"Adapter - Upstream End, Hose, Loading",094-002,
094-002-003,"Coupler - Upstream End, Hose, Loading",094-002,
094-002-004,"Hose - Loading, Abrasive Dry Product",094-002,
094-002-005,"Hose - Loading, Nonabrasive Dry Product",094-002,
094-002-006,"Hose - Loading, Sanitary Dry Product",094-002,
094-002-007,"Hose - Loading, Petroleum Liquid Product",094-002,
094-002-008,"Hose - Loading, Chemical Liquid Product",094-002,
094-002-009,"Hose - Loading, Corrosive Chemical Liquid Product",094-002,
094-002-010,"Hose - Loading, Sanitary Liquid Product",094-002,
094-002-011,"Hose - Loading, Flammable Gas Product",094-002,
094-002-012,"Hose - Loading, Nonflammable Gas Product",094-002,
094-002-013,"Hose - Loading, Cryogenic Product",094-002,
094-002-014,"Coupler - Downstream End, Loading Hose",094-002,
094-002-015,"Adapter - Downstream End, Loading Hose",094-002,
094-002-016,"Cap - Protector, Loading Hose",094-002,
094-002-017,"Hardware, Mounting - Loading Hose Assembly with Fittings",094-002,
094-002-018,Tube Assembly W/Fittings - Loading,094-002,
094-002-019,"Adapter - Upstream End, Loading Tube",094-002,
094-002-020,"Coupler - Upstream End, Loading Tube",094-002,
094-002-021,"Tube - Loading, Abrasive Dry Product",094-002,
094-002-022,"Tube - Loading, Nonabrasive Dry Product",094-002,
094-002-023,"Tube - Loading, Sanitary Dry Product",094-002,
094-002-024,"Tube - Loading, Petroleum Liquid Product",094-002,
094-002-025,"Tube - Loading, Chemical Liquid Product",094-002,
094-002-026,"Tube - Loading, Corrosive Chemical Liquid Product",094-002,
094-002-027,"Tube - Loading, Sanitary Liquid Product",094-002,
094-002-028,"Tube - Loading, Flammable Gas Product",094-002,
094-002-029,"Tube - Loading, Nonflammable Gas Product",094-002,
094-002-030,"Tube - Loading, Cryogenic Product",094-002,
094-002-031,"Coupler - Downstream End, Loading Tube",094-002,
094-002-032,"Adapter - Downstream End, Loading Tube",094-002,
094-002-033,"Cap - Protector, Loading Tube",094-002,
094-002-034,"Hardware, Mounting- Loading Tube Assembly with Fittings",094-002,
094-002-035,Coupling - Loading Flange,094-002,
094-002-036,"Gasket - Flange Coupling, Loading",094-002,
094-002-037,"Hardware, Mounting - Loading Flange Coupling",094-002,
094-002-038,"Coupling - Flexible Joint, Loading Hose",094-002,
094-002-039,"Hardware, Mounting - Loading Hose Flexible Joint Coupling",094-002,
094-002-040,Dust Filter Bag Assembly - Hatch Loading,094-002,
094-004-000,"Line - Unloading, Product",094-004,
094-004-001,Hose Assembly W/Fittings - Unloading,094-004,
094-004-002,"Adapter - Upstream End, Unloading Hose",094-004,
094-004-003,"Coupler - Upstream End, Unloading Hose",094-004,
094-004-005,"Hose - Unloading, Nonabrasive Dry Product",094-004,
094-004-006,"Hose - Unloading, Sanitary Dry Product",094-004,
094-004-007,"Hose - Unloading, Petroleum Liquid Product",094-004,
094-004-008,"Hose - Unloading, Chemical Liquid Product",094-004,
094-004-009,"Hose - Unloading, Corrosive Chemical Liquid Product",094-004,
094-004-010,"Hose - Unloading, Sanitary Liquid Product",094-004,
094-004-011,"Hose - Unloading, Flammable Gas Product",094-004,
094-004-012,"Hose - Unloading, Nonflammable Gas Product",094-004,
094-004-013,"Hose - Unloading, Cryogenic Product",094-004,
094-004-014,"Coupler - Downstream End, Unloading Hose",094-004,
094-004-015,"Adapter - Downstream End, Unloading Hose",094-004,
094-004-016,"Cap - Protector, Unloading Hose",094-004,
094-004-017,"Hardware, Mounting - Unloading Hose Assembly with Fittings",094-004,
094-004-018,"Coupling - Flange, Unloading",094-004,
094-004-019,"Gasket - Flange Coupling, Unloading",094-004,
094-004-020,"Hardware, Mounting - Unloading Flange Coupling",094-004,
094-004-021,"Coupling - Flexible Hose Joint, Unloading",094-004,
094-004-022,"Hardware, Mounting - Unloading Flexible Hose Joint Coupling",094-004,
094-004-023,Nipple - Grooved,094-004,
094-004-024,Line - Air Eliminator,094-004,
094-004-025,"Coupling - Flexible W/Gasket, Grooved Pipe",094-004,
094-004-026,Gasket - Flexible Coupling,094-004,
094-004-027,Clamp,094-004,
094-004-028,Gasket - Cap,094-004,
094-005-000,"Line - Pump-Off, Discharge, Vehicle-To-Vehicle",094-005,
094-005-001,Tube Assembly W/Fittings - Pump-Off,094-005,
094-005-002,"Adapter - Pump-Off Tube, Upstream End",094-005,
094-005-003,"Coupler - Pump-Off Tube, Upstream End",094-005,
094-005-004,"Tube - Pump-Off, Abrasive Dry Product",094-005,
094-005-005,"Tube - Pump-Off, Nonabrasive Dry Product",094-005,
094-005-006,"Tube - Pump-Off, Sanitary Dry Product",094-005,
094-005-007,"Tube - Pump-Off, Petroleum Liquid Product",094-005,
094-005-008,"Tube - Pump-Off, Chemical Liquid Product",094-005,
094-005-009,"Tube - Pump-Off, Corrosive Chemical Liquid Product",094-005,
094-005-010,"Tube - Pump-Off, Sanitary Liquid Product",094-005,
094-005-011,"Coupler - Pump-Off Tube, Downstream End",094-005,
094-005-012,"Adapter - Pump-Off Tube, Downstream End",094-005,
094-005-013,"Cap - Protector, Pump-Off Tube",094-005,
094-005-014,"Hardware, Mounting- Pump Off Tube Assembly with Fittings",094-005,
094-005-015,Hose Assembly W/Fittings - Pump-Off,094-005,
094-005-016,"Adapter - Pump-Off Hose, Upstream End",094-005,
094-005-017,"Coupler - Pump-Off Hose, Upstream End",094-005,
094-005-018,"Hose - Pump-Off, Abrasive Dry Product",094-005,
094-005-019,"Hose - Pump-Off, Nonabrasive Dry Product",094-005,
094-005-020,"Hose - Pump-Off, Sanitary Dry Product",094-005,
094-005-021,"Hose - Pump Off, Petroleum Liquid Product",094-005,
094-005-022,"Hose - Pump-Off, Chemical Liquid Product",094-005,
094-005-023,"Hose - Pump-Off, Corrosive Chemical Liquid Product",094-005,
094-005-024,"Hose - Pump-Off, Sanitary Liquid Product",094-005,
094-005-025,"Coupler - Pump-Off Hose, Downstream End",094-005,
094-005-026,"Adapter - Pump-Off Hose, Downstream End",094-005,
094-005-027,"Cap - Protector, Pump-Off Hose",094-005,
094-005-028,"Hardware, Mounting - Pump Off Tube Assembly with Fittings",094-005,
094-005-029,"Coupling - Flange, Pump-Off",094-005,
094-005-030,"Gasket - Flange Coupling, Pump-Off",094-005,
094-005-031,"Hardware, Mounting - Pump Off Flange Coupling",094-005,
094-005-032,"Coupling - Flexible Joint, Pump-Off Hose",094-005,
094-005-033,"Hardware, Mounting - Pump Off Hose Flexible Joint Coupling",094-005,
094-006-000,Reel Assembly - Line W/Hose & Fittings,094-006,
094-006-001,Reel Assembly - Line,094-006,
094-006-002,Mounting Bracket - Reel,094-006,
094-006-003,Motor Assembly - Reel Drive,094-006,
094-006-004,Sprocket - Reel Drive,094-006,
094-006-005,Chain - Reel Drive,094-006,
094-006-006,Control - Electrical Reel Drive,094-006,
094-006-007,Wiring Harness - Electrical Reel Drive,094-006,
094-006-008,Bushing - Reel Bracket,094-006,
094-006-009,"Cap - Bushing, Reel Bracket",094-006,
094-006-010,Shaft - Reel,094-006,
