PART,MANUFACTURER,DESCRIPTION,constructed_code_9d
21170166,"BOWER, FEDERAL-MOGUL",BEARING CUP,018-000-000
21172484,VOLVO,FUEL TANK,044-000-000
21172496,VOLVO,TRLOUT FUEL TANK,044-000-000
21172500,VOLVO,"TANK, FUEL",044-000-000
21172561,VOLVO,FUEL TANK STRAP,044-000-000
21172566,VOLVO,"FUEL TANK, RH",044-000-000
21172573,VOLVO,FUEL TANK,044-000-000
211825,MAXON,"POPPET, MAXON CARTRIDGE",053-000-000
21184636,VOLVO,Exhaust Clamp,043-000-000
21188,CROWN,36V TRACTION MOTOR ASSY,032-000-000
21189554,VOLVO,"BELT, FAN - V-RIBBED",042-000-000
211962-12,MAXON,COIL,044-000-000
211964-12,TENNANT,"VALVE ASSY, ELC, 12VDC, 4W4W,",053-000-000
212004-01,MAXON,"FLANGED,BUSHING,REPAIR,KIT",053-000-000
2120190,PETERBILT MOTORS CO,GASKET-EGR,053-000-000
21207195,VOLVO,CABLE,032-000-000
2120874PE,PETERBILT MOTORS CO,STRAIGHT COUPLING MALE,053-000-000
21209156,VOLVO,CABLE TIE,032-000-000
212134-1X,SPICER AXLE-TRANS,"BEARING, DRIVE SHAFT, CTR SPT",018-000-000
212135-1X,SPICER AXLE-TRANS,"BEARING, CENTER",018-000-000
212142-1X,SPICER AXLE-TRANS,CENTER BUSHING,053-000-000
21229589,VOLVO,HOSE DPF MUFFLER,043-000-000
21236982,VOLVO,"STRAP , MULTI-PURPOSE",053-000-000
21237499,VOLVO,RIGHT-SIDE FUEL TANK,044-000-000
2124041,"PACCAR, INC.","COOLANT, THERMOSTAT",042-000-000
21243502,VOLVO,PRESSURE REGULATOR,053-000-000
21244695,VOLVO,TRANS CONTROL HOUSING GASKET,053-000-000
21248009,VOLVO,DEF HEATER SOLENOID,032-000-000
21251583,VOLVO,FUSE HOLDER,032-002-000
21251R,TRUCK-LITE CO,MDL 21 LED M/C,034-000-000
21251Y,TRUCK-LITE CO,LIGHT,034-000-000
21-26020-011,FREIGHTLINER,"BUMPER, CENTRE, STEEL, FRONT",002-000-000
21-26021-004,FREIGHTLINER,"BUMPER, ENDCAP, LH",002-000-000
21-26517-012,FREIGHTLINER,"BUMPER-END,PLASTIC,SHORT,LH",002-000-000
21-26517-013,FREIGHTLINER,"BUMPER - END,PLASTIC,SHORT,RH",002-000-000
21266886,VOLVO,"FILTER, PRESSURE REGULATOR",053-000-000
212687,CASCADE CORP,"STOP, FORK",034-000-000
2126981PE,PETERBILT MOTORS CO,SENSOR-TURBO PRESSURE,042-000-000
21-27300-001,FREIGHTLINER,"END CAP, FRONT BUMPER",002-000-000
21-27300-004,FREIGHTLINER,FASCIA-END BUMPER LH FOG,002-000-000
21-27300-005,FREIGHTLINER,FASCIA-END BUMPRE RH,053-000-000
21-27300-009,FREIGHTLINER,"FASCIA, BUMPER - RH",002-000-000
21-27302-000,FREIGHTLINER,"RECEPTACLE, BUMPER",002-000-000
2127356,"PACCAR, INC.",SENSOR OIL PRESSURE,044-000-000
2127356PE,KENWORTH TRUCK CO,SENSOR- OIL PRESSURE,044-000-000
2127357PE,"PACCAR, INC.","SENSOR, PRESSURE",032-000-000
2127358PE,"PACCAR, INC.","SENSOR, POST BPV PRESS",032-000-000
2127551PE,"PACCAR, INC.","RING SEAL, INJECTOR",044-000-000
21275R,TRUCK-LITE CO,COMBINATION LAMP,034-000-000
21275Y,TRUCK-LITE CO,"LED MODEL 21, COMBINATION LAM",034-000-000
212760-02,MAXON,COVER,055-001-000
21-27739-000,FREIGHTLINER,"BUMPER END, PLASTIC LH",002-000-000
21-27739-001,FREIGHTLINER,"BUMPER END, PLASTIC",002-000-000
21-27739-004,FREIGHTLINER,BMPR-END PLSTC SHORT LH,053-000-000
21-27739-005,FREIGHTLINER,BMPR-END PLSTC SHORT RH,053-000-000
212804,"BANDAG, INC.","RETREAD, MEGATREK, 11R22.5",017-001-000
21-28443-010,FREIGHTLINER,REINFORCEMENT-CENTER,053-000-000
21-28446-000,FREIGHTLINER,"BUMPER-FRONT,FASCIA-",002-000-000
212870-01,MAXON,"CYLINDER ASSY, 2.75X5.25",055-003-000
212871-01,MAXON,LIFTGATE CYLINDER,055-003-000
21-28720-000,FREIGHTLINER,"COVER, BUMPER - AIR DAM",002-000-000
212878-01,MAXON,"PIN, SST 1"" D WITH GR FITTING",053-000-000
21288169,VOLVO,WIRES,032-000-000
212889,"BANDAG, INC.","RETREAD, MEGATREK, 295/75R22.5",017-001-000
21-28977-000,FREIGHTLINER,"PLATE-NUT, HOOK, BUMPER",002-000-000
21-28977-001,FREIGHTLINER,"PLATE, BUMPER REINFORCEMENT RH",002-000-000
21-28978-000,FREIGHTLINER,"BRACKET, BUMPER REINFORCEMENT",002-000-000
21-28978-001,FREIGHTLINER,"PLATE, BUMPER REINFORCEMENT RH",002-000-000
21-28981-003,FREIGHTLINER,"BUMPER, REINFORCEMENT",002-000-000
21-28985-002,FREIGHTLINER,"SCREEN, BUMPER CENTER",002-000-000
21-28985-003,FREIGHTLINER,"SCREEN, BUMBER, CENTRE",053-000-000
21-28997-000,FREIGHTLINER,"BRACKET,MOUNTING BUMPER LH",002-000-000
21-28997-001,FREIGHTLINER,"BUMPER, MOUNTING, BRACKET,R/H",002-000-000
21-29000-000,FREIGHTLINER,"SEAL-BUMPER, HOOD",018-000-000
21-29049-002,FREIGHTLINER,"BRKT-MTG,BMPR,106,3I",053-000-000
21-29049-003,FREIGHTLINER,"BRKT-MTG,BMPR,106,3I",053-000-000
21-29099-000,FREIGHTLINER,"REINF-BUMPER, LH",002-000-000
21-29099-001,FREIGHTLINER,"REINF-BUMPER, RH",002-000-000
21-29100-010,FREIGHTLINER,"FASCIA,BUMPER LH",002-000-000
21-29100-011,FREIGHTLINER,"FASCIA- BMPR, PTD, RH",053-000-000
21291771,VOLVO,"CAP, RADIATOR",042-000-000
21293367,VOLVO,"GASKET, OIL PAN",044-000-000
21294062,"MACK TRUCKS, INC.",GASKET,053-000-000
2129818PE,"PACCAR, INC.","SENSOR, TEMPERATURE",032-000-000
21298915,VOLVO,SEAL O-RING,018-000-000
21305286,VOLVO,"HOSE, COOLANT",042-000-000
21308752,VOLVO,QUICK COUPLER,053-000-000
21314359,VOLVO,PRESSURE CAP,053-000-000
21315713-0R150,UTILIMASTER CORP,SEAT BELT JUMPSEAT 3-PT,042-000-000
21315713-OR150,FRANKLIN TRUCK PARTS,"SEAT BELT, ASSY",042-000-000
2132-10535915,VOLVO,STARTER SERVICE KIT,032-000-000
21321338,VOLVO,HOSE CONNECTION,065-000-000
21326144,VOLVO,CONTROL UNIT,053-000-000
21330,REESE MANUFACTURING,"MOUNT, BALL",053-000-000
21330007,VOLVO,"STEP, TOP L.H.",053-000-000
213320-12,MAXON,CONTROLLER ASSEMBLY,032-000-000
21335250,VOLVO,YOKE,053-000-000
21335267,VOLVO,"YOKE, END",053-000-000
21338451,VOLVO,"SPRING,AIR BAG,CAB",016-000-000
213-4229,GENERAL MOTORS CORP,HEATED OXYGEN SENSOR,032-000-000
21342439,VOLVO,WIRING HARNESS,032-000-000
213-4246,GMC TRUCK DIVISION,OXYGEN SENSOR,032-000-000
21343823,VOLVO,ROD,053-000-000
21344634,"MACK TRUCKS, INC.",FUEL PIPE,044-000-000
21344787,VOLVO,"SCREW, FLANGE",053-000-000
2134564PE,"PACCAR, INC.",FLANGE BOLT,053-000-000
21345662,VOLVO,DOOR STOP,034-000-000
213-4693,ACDELCO,HEATED OXYGEN SENSOR,032-000-000
21348182,VOLVO,STEP SUPPORT BRACKET,053-000-000
21349354,VOLVO,SEAT BELT,042-000-000
21352478,VOLVO,GASKET EXH OUTLET,053-000-000
21352823,VOLVO,ATTACHING CLAMP,034-000-000
21363722,VOLVO,DIPSTICK,053-000-000
21368819,VOLVO,PIPE,053-000-000
21370850,HALDEX,"SERVICE BRAKE CHAMBER, SC24L",013-000-000
21375544,VOLVO,WIRING HARNESS,032-000-000
21375559,VOLVO,"HARNESS, WIRING",032-000-000
2137593PE,"PACCAR, INC.","SENSOR, PRESSURE",032-000-000
21376801,VOLVO,SEAL PLAIN,018-000-000
21377346,VOLVO,"PAN, OIL",044-000-000
21379626,VOLVO,WIRING HARNESS,032-000-000
2138143PE,PETERBILT MOTORS CO,GASKET EXHAUST MANIFOLD,043-000-000
21381996,VOLVO,STRAP,053-000-000
21382012,VOLVO,"STRAP, FUEL TANK",044-000-000
213899,CASCADE CORP,"STRIP , WEAR",053-000-000
21392403,VOLVO,TANDEM RELEASE SPRING,016-000-000
21396747,"MACK TRUCKS, INC.","PIPE, AIR VENT",053-000-000
21399189,VOLVO,"STRAP, DPF LOW DIAMETER 18.5""",043-000-000
21399626,VOLVO,"SENSOR, COOLANT LEVEL",042-000-000
21400638,VOLVO,HOSE,065-000-000
21400684,"MACK TRUCKS, INC.",FUEL LINE,044-000-000
21401835,"PACCAR, INC.","PIPE, DIFFUSER",032-002-000
21407621,VOLVO,"INJECTOR, DOSING - D13",044-000-000
21422765,VOLVO,BELT TENSIONER,042-000-000
214-2431-A61-06,FRANKLIN TRUCK PARTS,"CONTACTOR, 24V",032-000-000
2143061PE,KENWORTH TRUCK CO,"TENSIONER,SECONDARY,FAN,DRIVE",042-000-000
21-43-1,DEXTER AXLE CO,GREASE CAP,053-000-000
21432772,VOLVO,GASKET,053-000-000
21434720,VOLVO,"TUBE, EGR COOLER",042-000-000
21436086,MONROE SHOCKS&STRUTS,"SHOCK, STEER AXLE",015-000-000
21440612,VOLVO,BRACKET,053-000-000
21458307,VOLVO,"VALVE, OVERFLOW",053-000-000
21461264,VOLVO,"STRAP, EXHAUST",043-000-000
21462378,VOLVO,"ABSORBER, SHOCK - REAR",016-000-000
21-467P,ADVANCE USA,"SWITCH, BACK-UP LAMP",034-000-000
21469805,VOLVO,"MANIFOLD, EXHAUST",043-000-000
21475161,VOLVO,EXHAUST PIPE,043-000-000
21475228,VOLVO,"SEPERATOR, OIL, CRANKCASE",044-000-000
21475321,VOLVO,BOLT,053-000-000
2147568,CATERPILLAR TRACTOR,"SEAL, O",018-000-000
21482601,VOLVO,GASKET,053-000-000
21482604,VOLVO,STAILESS STEEL STUDS,034-000-000
21483002,VOLVO,"HOSE, DEF",065-000-000
21483633,VOLVO,DEF PUMP TO INJECTOR HOSE,044-000-000
21483642,VOLVO,DEF TANK TO PUMP HOSE,065-000-000
21484861,VOLVO,"BRACKET, EXHAUST PIPE",043-000-000
21486952,VOLVO,"STRAP, EXHAUST PIPE - VERTICAL",043-000-000
21488790,VOLVO,"COVER, PANEL FUSE",032-002-000
21488791,VOLVO,"PANEL, ASH TRAY ASSY",002-000-000
214908GT,GENIE INDS,"DECAL, KIT",002-000-000
21496283,VOLVO,RETAINER DIPSTICK,053-000-000
21499418,VOLVO,AIR HORN,034-000-000
21500-1,WESTERN (SOW PLOWS),MOTOR ASSY 4-1/2 - FS,032-000-000
21500943,VOLVO,OIL DIPSTICK,044-000-000
21504560,VOLVO,CHARGE AIR COOLER,042-000-000
21505893,VOLVO,"LATCH, DRIVERS DOOR",072-000-000
21505894,VOLVO,LATCH,072-000-000
21509071,VOLVO,GASKET,053-000-000
215139,MAXON,CATCH & FASTENER,053-000-000
21517690,VOLVO,OIL PAN GASKET,044-000-000
21523AL,ACDELCO,RADIATOR,042-000-000
21524972,VOLVO,HOSE- AC ASSEMBLY,065-000-000
21524978,VOLVO,AC HOSE ASSEMBLY,065-000-000
21526036,VOLVO,"BASE, ANTENNA",053-000-000
21528673,VOLVO,BOLT EGR VALVE,053-000-000
21531072,VOLVO,TEMPERATURE SENSOR,032-000-000
21531322,VOLVO,BREATHER,053-000-000
21531323,VOLVO,BREATHER,053-000-000
21532261,VOLVO,SEALING RING,018-000-000
215331,ANDERSON POWER PROD,"CONNECTOR, SB175 GRAY",032-000-000
21533396,VOLVO,"PIPE, FLEX DPF TO SCR",043-000-000
21533424,VOLVO,"SPLASH SHIELD, STEP",053-000-000
215345,MAXON,"SPRING, EXTENSION",055-001-000
215379,BRIDGESTONE TIRE,RADREPAIR WITH RETREAD LIST LP,017-001-000
21538404,VOLVO,ROTOR,053-000-000
21538409,VOLVO,HUB,018-000-000
2154098,PETERBILT MOTORS CO,PUSH ROD MX-13,053-000-000
21542714,VOLVO,TEMPERATURE SENSOR,032-000-000
2154313,PETERBILT MOTORS CO,"OIL PAN, COMPOSITE FRONT",044-000-000
21545619,VOLVO,V-BAND CLAMP,034-000-000
21549784,VOLVO,"CROSSMEMBER, TRANSMISSION",001-000-000
21554866,VOLVO,CABLE,032-000-000
215616,BRIDGESTONE TIRE,B-24RADREPONLY WITHOUT RETREAD,017-001-000
215684,BRIDGESTONE TIRE,RADREPAIR WITH RETREAD LIST,017-001-000
215718,BRIDGESTONE TIRE,RADREPAIRONLSP8 WITHOUT RETREA,053-000-000
21574409,"MACK TRUCKS, INC.",GASKET,053-000-000
215786,BRIDGESTONE TIRE,RADREPAIR WITH RETREAD LIST,017-001-000
21579509,VOLVO,"HOSE, DEF",065-000-000
2158132PE,PETERBILT MOTORS CO,"FLANGE BOLT, M6 X 60",053-000-000
21585827,VOLVO,PIPE,053-000-000
21585829,VOLVO,PIPE,053-000-000
215888,BRIDGESTONE TIRE,RADREPAIR WITH RETREAD LIST,017-001-000
21589047,VOLVO,FUEL TANK STRAP,044-000-000
21589437,VOLVO,LOUVER,053-000-000
215905,BRIDGESTONE TIRE,B-40RADREPONLY WITHOUT RETREAD,017-001-000
21592999,VOLVO,"WHEEL, STEERING, VNL",015-000-000
21593044,VOLVO,"COVER, STEERING WHEEL",015-000-000
215994,CATERPILLAR TRACTOR,"SHAFT,",053-000-000
21600349,VOLVO,LAMP,034-000-000
2160125PRX,"PACCAR, INC.","SENSOR, PARTICULATE",032-000-000
2160128PRX,"PACCAR, INC.","SENSOR, PARTICULATE",032-000-000
2160128PRX-RTC,"PACCAR, INC.","SENSOR, PARTICULATE",032-000-000
21603,TENNANT,STAINLESS STEEL PIN - 1.92 X 0,053-000-000
21606,TENNANT,"BAR, SQUEEGEE, REAR, SS",053-000-000
21608472,VOLVO,VALVE,053-000-000
21610103,VOLVO,BRACE,018-000-000
2161304PE,"PACCAR, INC.","PLUG, M22",032-000-000
2161305PE,"PACCAR, INC.","SEAL, O-RING",018-000-000
21613426,VOLVO,THERMOSTAT,053-000-000
21615884,VOLVO,SEAT,002-000-000
21615940,VOLVO,SEAT,002-000-000
21616021,VOLVO,SEAT,002-000-000
21619495,VOLVO,"COVER, FUSE BOX",032-002-000
21620181,"MACK TRUCKS, INC.",AIR DRYER CARTRIDGE,053-000-000
21620723,VOLVO,"LOUDSPEAKER, ALARM",053-000-000
21621487,VOLVO,INTERIOR LAMP,034-000-000
21621560,VOLVO,KNOB,002-000-000
21621561,VOLVO,PLUG,032-000-000
21621565,VOLVO,HEADLINER,053-000-000
21623688,VOLVO,ARMREST,002-000-000
21624547,VOLVO,DOOR PANEL LEFT,002-000-000
21624565,VOLVO,"PANEL,DOOR RH",002-000-000
21626167,VOLVO,"INSTEP,LAMP",034-000-000
21627077,VOLVO,"HOSE, HEATER SUPPLY",065-000-000
21627080,VOLVO,"HOSE, HEATER RETURN",065-000-000
21634017,VOLVO,CRANKCASE PRESSURE SENSOR,032-000-000
21636161,VOLVO,P/S PUMP DIP STCK,053-000-000
21638154,"BENDIX CORP, THE",AD-9,053-000-000
21638155,VOLVO,AIR RYER,053-000-000
21639955,VOLVO,TIE ROD,053-000-000
21647725,VOLVO,"HOSE, INJECTOR COOLING 792MM",044-000-000
216585,BRIDGESTONE TIRE,R250 ED 275/70R22.5 TLBLSTJL18,053-000-000
21669088,GOODYEAR TIRE&RUBBER,AIR SPRING,016-000-000
21672465,VOLVO,COVER PANEL,002-000-000
216806 004,DAIMLERCHRYSLERAG,"RECEPTACLE, ASSY",053-000-000
21683102,VOLVO,HOSE,065-000-000
21683103,VOLVO,HOSE,065-000-000
21687,ACDELCO,RADIATOR,042-000-000
2168PK,DISCO AUTOMOTIVE,"PIN, ROLLER, DOOR",072-000-000
21692397,VOLVO,LOUVER,053-000-000
21700538,VOLVO,"MOUNTING STRAP, FUEL TANK",044-000-000
21712908,VOLVO,TERMINAL,032-000-000
217131 001,CASCO PRODUCT CORP,"CAP, MOUTNING RING",053-000-000
21714847,VOLVO,BELT TENSION,042-000-000
21715813,VOLVO,"FILTER, AIR, ENGINE",053-000-000
21738,ACDELCO,"RADIATOR, ASSEMBLY",042-000-000
21745602,VOLVO,TANDEM PUMP,053-000-000
21745603,VOLVO,"PUMP, FUEL/POWER STEERING",044-000-000
21750583,VOLVO,"VALVE, BRAKE - MV-3 DASH",013-000-000
21756428,VOLVO,"ASSEMBLY, MUFFLER",043-000-000
21756505,VOLVO,MUFFLER,043-000-000
21761097,VOLVO,"HOSE, PCV",065-000-000
21770317,VOLVO,CLOSURE,053-000-000
21773463,VOLVO,SEAL,018-000-000
21780371,VOLVO,SEALING RING,018-000-000
21780376,VOLVO,SEALING RING,018-000-000
21780553,VOLVO,"SWITCH, IGNITION",032-000-000
2178421,VOLVO,BRACKET,053-000-000
21786063,VOLVO,CONTROL HOUSING PISTON,045-000-000
2178925,FREIGHTLINER,COOLANT HOSE ASSEMBLY,042-000-000
21792809,"MACK TRUCKS, INC.",FUEL TANK,044-000-000
21807998,VOLVO,"NUT, WHEEL",018-000-000
2180879,"PACCAR, INC.","COOLANT, THERMOSTAT",042-000-000
21816920,VOLVO,SAFETY VALVE,053-000-000
21816934,VOLVO,CHECK VALVE,053-000-000
21819687,"MACK TRUCKS, INC.",BELT TENSIONER,042-000-000
21823706,VOLVO,NUT,053-000-000
21825317,VOLVO,ANTENNA,053-000-000
21825319,VOLVO,ANTENNA,053-000-000
21829331,"MACK TRUCKS, INC.","ASSY, FUSE BLOCK",032-002-000
21839987,VOLVO,DEF TANK,053-000-000
21840786,VOLVO,FILLER NECK,053-000-000
21849284,VOLVO,LAMP,034-000-000
21857792,VOLVO,ABS RING,053-000-000
21866786,VOLVO,HOSE ASSY,065-000-000
21866788,VOLVO,A/C HOSE ASSEMBLY,065-000-000
21866790,"MACK TRUCKS, INC.",TRANSMISSION COOLER HOSE,042-000-000
21866792,VOLVO,HOSE ASSY,065-000-000
21866813,VOLVO,TRANSMISSION HOSE FITTING,065-000-000
21870635,VOLVO,"HOUSING, FILTER, FUEL",044-000-000
218797,"PACCAR, INC.",HOUSING - POWER PORT,053-000-000
2188190PE,"PACCAR, INC.","GASKET, AFTERTREATMENT",053-000-000
21897411,VOLVO,DICE BRAKE CHAMBER,013-000-000
2189909PE,"PACCAR, INC.",CONNECTOR,032-000-000
21921249,"MACK TRUCKS, INC.","PIPE, COOLANT",042-000-000
21922388,VOLVO,HOSE CLAMP,065-000-000
219-364-001,YALE IND TRK DIV,"RETAINER, MAST, BOLT ON",053-000-000
21940615,VOLVO,"RING, SEALING",018-000-000
21942883,VOLVO,STARTER,032-000-000
21954674,VOLVO,STRAINER-DEF PUMP,053-000-000
219596,RAYMOND,SCREW-STOCKET,053-000-000
2-1972-24,GREAT DANE,"HANDLE, INSIDE DOOR SAFETY",002-000-000
219868,CASCADE CORP,"KIT,SEAL",018-000-000
21PUV,OREILLY AUTO PARTS,WIPER BLADE,002-035-000
21X8X15,MARANGONI,SMOOTH DRIVE TIRE,017-001-000
21X8X15 CSNM,CROWN,"TIRE, 21X8X15 SMOOTH",017-001-000
21X8X15 WT SNM,CROWN,"TIRE, WIDE TRAK SMOOTH NON-MAR",017-001-000
21X8X15CROWN,CROWN,21X8X15 MHE TIRE,017-001-000
21X9X15,CONTINENTAL TIRE NA,21 X 9 X 15 MH20,053-000-000
21X9X15 CSNM,CROWN,21X9X15 CSNM,053-000-000
21X9X15TOYOTA,SOLIDEAL TIRE,21X9X15 TOYOTA MHE TIRE,017-001-000
2200-066,VOLVO,"RADIATOR, ASSEMBLY",042-000-000
220079055,CROWN,LINK-MASTER CHAIN,055-008-000
22008241,VOLVO,STEERING WHEEL,015-000-000
22010324,VOLVO,EXH PIPE,053-000-000
22-01196-30,CARRIER,"FUSE,12AMP,VECTOR",032-002-000
22012847,"MACK TRUCKS, INC.",FUEL LINE,044-000-000
22-01968-00,CARRIER,DEFROST SENSOR,032-000-000
22-01968-01,CARRIER CORP,SENSOR ASSY,032-000-000
22019C,PETERBILT MOTORS CO,"PIN,TURN SIGNAL CNCL",034-000-000
22024051,VOLVO,TENSIONING NUT,053-000-000
22-02958-00,CARRIER,"HARNESS, ATS",032-000-000
22-02958-01,CARRIER,"HARNESS, ATS",032-000-000
22-02973-00,CARRIER CORP,"ASSEMBLY, THERMISTOR",053-000-000
22-02973-14,CARRIER CORP,"SENSOR, THERMISTOR",032-000-000
22-02973-15,CARRIER CORP,"HARNESS, THERMISTOR",032-000-000
22-02973-30,CARRIER,"HARNESS, SENSOR, THERMISTOR",032-000-000
220350,THERMO KING,SIGHT GLASS,002-035-000
22-04166-01,CARRIER,"RECEPTICLE, STANDBY, 460V",053-000-000
22041756,VOLVO,"DISCHARGE LINE NIPPLE,",053-000-000
220-421-01-71,MERCEDES-BENZ OF NA,"BRAKE, BOLT",013-000-000
22-04249-07,CARRIER,BATTERY CABLE,032-001-000
2205-006,LYNOL,RADIATOR ASSEMBLY,042-000-000
220-5301ZN,TEXAS ALTERNATOR,ALTERNATOR,032-000-000
22066,O'REILLY AUTO PARTS,O2 SENSOR,032-000-000
22071586,VOLVO,CLOCK SPRING,016-000-000
22073233,VOLVO,AMBIENT TEMP SENSOR,032-000-000
22079578,VOLVO,EGR DP,053-000-000
220822-00,RAYMOND,"REVERSER, BUTTOM",053-000-000
22082849,"MACK TRUCKS, INC.",PRESSURE SWITCH,032-000-000
22084204,VOLVO,PIPE,053-000-000
22086413,VOLVO,"SEAL, REAR MAIN",018-000-000
2208E1123,MERITOR N.A.,GASKET,053-000-000
2208X440,MERITOR N.A.,GASKET,053-000-000
22-09289-001,FREIGHTLINER,CLAMP SADDLE,034-000-000
22093421,VOLVO,STUB,053-000-000
22093424,VOLVO,EXHAUST MOUNTING STUD,043-000-000
22096784,VOLVO,STEERING KNUCKLE L/H,015-000-000
220990,THERMO KING,PLATE-VALVE-DISCHARGE,053-000-000
22-1001,TYC BROTHER IND CO.,HEAD LAMP,034-000-000
2210039,INTERNATIONAL,HOOD,002-000-000
22106234,VOLVO,SEAL,018-000-000
22106235,VOLVO,WEATHERSTRIP,053-000-000
2210B6866,MERITOR N.A.,"CAMSHAFT, BRAKE, RH, 28 SPLINE",013-000-000
2210C6867,MERITOR N.A.,"CAMSHAFT, BRAKE, LH, 28 SPLINE",013-000-000
2210E7648,ARVINMERITOR,"CAMSHAFT, RH",053-000-000
2210E7649,ARVINMERITOR,"CAMSHAFT, LH",053-000-000
2210H7678,MERITOR WABCO,S CAM,053-000-000
2210J7680,MERITOR WABCO,S CAM,053-000-000
2210Q8155,MERITOR WABCO,"CAMSHAFT, RH",053-000-000
2210R7636,MERITOR WABCO,S CAMSHAFT BRAKE,013-000-000
2210S7637,MERITOR N.A.,"CAMSHAFT, S, BRAKE, LH",013-000-000
2210T7482,ARVINMERITOR,"CAMSHAFT, RH",053-000-000
2210U7483,MERITOR WABCO,CAM SHAFT LH,053-000-000
221101,THERMO KING,"SEAL, COMPRESSOR - TK",018-000-000
22-1103,THERMO KING,SEAL X430-P,018-000-000
22113057,VOLVO,FAN CLUTCH,042-001-000
22117441,VOLVO,"KIT RIBBON HARNESS ""D"" TRANS",032-000-000
221315,THERMO KING,"BOTTLE, OIL COLLECTION",044-000-000
221328,THERMO KING,CAP-PLASTIC,053-000-000
22141241,VOLVO,LH HEAD LIGHT,034-000-000
22141268,VOLVO,HEADLAMP LEFT SIDE,034-000-000
2214P-6-6,PARKER RACOR,FITTING,053-000-000
2214W1271,ARVINMERITOR,RING ADJ INPUT,053-000-000
221618R101,TRW,POWER STEERING PUMP,015-000-000
22168912,VOLVO,Coolant Hose,042-000-000
22168942,VOLVO,Coolant Hose,042-000-000
221736,MAXON,150AMP BREAKER,032-002-000
22181342,VOLVO,"PRESSURE SENSOR, DIFFERENTIAL",032-000-000
22188820,VOLVO,"HOUSING, FILTER, FUEL",044-000-000
22188828,VOLVO,"HOUSING, FUEL/WATER SEPARATOR",044-000-000
22192490,VOLVO,ADAPTER,053-000-000
22193384,VOLVO,EXHAUST STRAP,043-000-000
22202559,VOLVO,SHOCK,016-000-000
222027,TENNANT,ARM LIFT HEAD,053-000-000
222032Y,PETERBILT MOTORS CO,"LIGHT, AMBER OVAL LED TURNMA",034-000-000
222040000000000,HINO MOTORS LTD.,"SENSOR, AIRFLOW, MASS",032-000-000
222066,TENNANT,RUBBER CASTER WHEEL,018-000-000
222083,TENNANT,"PLATE, SHIELD",053-000-000
222090,TENNANT,"HOSE, RBR, 0.62ID 0.81 OD 0.0L",065-000-000
222151,TENNANT,"TUBE, DRAIN",053-000-000
222180,TENNANT,"SKIRT, RBR, .25, 02.81W 06.80L",053-000-000
222233,TENNANT,"BLOCK, SQGE, ADJ",072-000-000
222241,TENNANT,"SQUEEGEE, FRONT",053-000-000
222242,TENNANT,"SQUEEGEE, REAR",053-000-000
22226-05,RAYMOND,SOLENOID - 24 VOLT,032-000-000
222282,TENNANT,"SWITCH, KEY",032-000-000
222305,TENNANT,BRUSH,053-000-000
222307,TENNANT,"BRUSH, SCRUB",053-000-000
222320,TENNANT,BRUSH - 14IN .028 POLY,053-000-000
222361,TENNANT,"HOSE, RUBBER",065-000-000
22-23640-000,FREIGHTLINER,SWITCH THERM,032-000-000
222378,TENNANT,STRAP WLDT,053-000-000
222384,TENNANT,"BLADE, SQGE",053-000-000
222386,TENNANT,"BLADE, SQGE, REAR, 45.65L GUM",053-000-000
222403,TENNANT,RUBBER MOLDED WHEEL,018-000-000
222404,TENNANT,"DOOR,SCB HEAD",072-000-000
222405,TENNANT,"DOOR,SCB HEAD",072-000-000
222406,TENNANT,STOP SAFETY,034-000-000
222414,TENNANT,SQUEEGEE,053-000-000
222416,TENNANT,SQUEEGEE,053-000-000
222429,TENNANT,"BLADE KIT,SQGE",053-000-000
222433,TENNANT,POLYURETHANE SQUEEGEE KIT,053-000-000
222434,TENNANT,"BLADE, SQGE, FRONT, 47.41L URE",053-000-000
222435,TENNANT,"BLADE, SQGE, REAR, 49.37L URE",053-000-000
222462,TENNANT,SPRING-TORSION,016-000-000
222496,TENNANT,SLEEVE,053-000-000
222497,TENNANT,"SLEEVE, P/M, 0.32B, 0.50, 1.3L",053-000-000
22250737,VOLVO,STRAP,053-000-000
222535,TENNANT,HOSE-CLEAR,065-000-000
222536,TENNANT,PLASTIC TEE,053-000-000
222578,TENNANT,"LABEL SET, INFO / HAZARD",053-000-000
222684,TENNANT,TENNANT SCRUBBER KEY,053-000-000
222794,TENNANT,"KNOB, RND",002-000-000
222838,TENNANT,"BRACKET, PIVOT",053-000-000
22288890,VOLVO,HARNESS ENGINE 2015+,032-000-000
223-000-470/101,RAYMOND,BRACKET,053-000-000
223-000-473/101,RAYMOND,BRACKET,053-000-000
223-001-569/C09,RAYMOND,LOAD BACKREST,055-008-000
22303384,VOLVO,NOX SENSOR,043-000-000
22303390,VOLVO,INLET NOX SENSOR,043-000-000
22303391,VOLVO,NOX SENSOR OUTLET,043-000-000
22304900,"MACK TRUCKS, INC.",DIFF OIL COOLER PIPE,042-000-000
22305507,"MACK TRUCKS, INC.",PIPE TRNASMISSION OIL COOLER,042-000-000
22307701,VOLVO,"PIPE, EXHAUST",043-000-000
22307703,VOLVO,"EXHAUST PIPE, BELLOWS",043-000-000
22308-6,TENNANT,"HOSE, LPG",065-000-000
2230-PO-89,TOTALSOURCE,LOAD WEEL ASSY,055-000-000
