vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,vmrs_system,confidence_score,match_reasoning,match_rank
4020588,HYSTER CO.,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
4043517C1,NAVISTAR,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
4070948C1,NAVISTAR,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4071HP,MICROGARD,"FILTER, CABIN, AIR",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4079,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4080114C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
4090340,HYSTER CO.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
4093,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4107,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4107HP,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4110,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4123,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
4132,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
420438-1,TICO TRACTORS,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
4304827,FULLER TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
4324209232,ZF WABCO,"CARTRIDGE, AIR DRYER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
4329012482,ZF WABCO,"CARTRIDGE, AIR DRYER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
4478300100,MERCEDES-BENZ OF NA,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
46646,WIX CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
46916,WIX CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
49017,WIX CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
49019-0032,KAWASAKI,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
49022,WIX CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
49064,WIX CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
4920476,CUMMINS ENGINE CO,"FILTER, COOLANT, ENGINE",042-007-002,"Element - Filter, Coolant",42.0,HIGH,Coolant/water filter,1.0
49225,WIX CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
4C2Z-9N184-BA,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
5008414,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
51551,WIX CORP,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
518217,CARQUEST,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
5303604,CUMMINS ENGINE CO,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
5363390,CUMMINS ENGINE CO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
5507120,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Air filter for reefer engine,1.0
552119,NAPA,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
5579176,CUMMINS ENGINE CO,"FILTER, DEF, KIT",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
56510581,NILFISK,"FILTER, SOLUTION, KIT",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
5679573,CUMMINS ENGINE CO,"FILTER, CRANKCASE, VENTILATION",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
57082,WIX CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
5C3Z-9601-AB,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
5S013817,"PACCAR, INC.","FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
5Z768,SOLBERG,"FILTER, AIR, COKE PUMP",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
610600,THERMO KING,"FILTER, DRIER, REFRIGERANT",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
667800,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Oil filter for reefer engine,1.0
67501-12900-71,TOYOTA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
67502-23000-71,TOYOTA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
67502-23320-71,TOYOTA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
67502-U2230-71,TOYOTA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
6C2Z-9601-C,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
7-24-04085,NILFISK,"FILTER, AIR, OUTER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
7-24-04086,NILFISK,"FILTER, AIR, INNER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
78677270,VOLVO,"FILTER, PUMP, SCREENWASH",,,,NO_MATCH,"No pattern match for: FILTER, PUMP, SCREENWASH",
7C3Z-9601-C,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
82269261,VOLVO,"FILTER, FILLER NECK, DEF",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
84000015,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
84373974,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
844179,BRIGGS & STRATTON,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
845090,BRIGGS & STRATTON,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
85249,CARQUEST,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
87904M,NELSON MFG,"FILTER, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
88970273,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
8C3Z-7A098-D,FORD MOTOR CO,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
90022187,OTTAWA TRUCKS NA,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
90033647,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
90035364,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE, SECONDARY",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
90035365,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
90036438,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
90036439,OTTAWA TRUCKS NA,"FILTER, AIR, RECIRCULATION",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
90037519,OTTAWA TRUCKS NA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
9007380,TENNANT,"FILTER, FUEL, PRIMARY, LPG",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
9017,NAPA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
9087,NAPA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
90915-YZZD1,TOYOTA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
91H2100240,MITSUBISHI,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
9T1Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
A0000-00063,MITSUBISHI,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
A000003458,MITSUBISHI,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
A0000901351,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A0000901551,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A0000904851,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
A0000905051,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPERATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
A0000905151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A0000905251,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
A0001400594,DETROIT DIESEL CORP,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
A0001420289,MERCEDES-BENZ OF NA,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
A0001421089,MERCEDES-BENZ OF NA,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
A0001802909,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
A0004700892,DETROIT DIESEL CORP,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
A04-27207-000,FREIGHTLINER,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
A4700903151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A4710900955,FREIGHTLINER,"FILTER, 3-2 CONVERSION, FUEL",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
A4711800209,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
A4720921705,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A4722030355,DETROIT DIESEL CORP,"FILTER, COOLANT, ENGINE",042-007-002,"Element - Filter, Coolant",42.0,HIGH,Coolant/water filter,1.0
A4731800409,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
A4731800909,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
A5410900151,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A9061800209,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
A9061810086,DETROIT DIESEL CORP,"FILTER, OIL, CENTRIFUGE KIT",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
A9360900651,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
A9361807410,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
AA5Z-6714-A,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
AA5Z-6714-B,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
AD27747,FLEETGUARD,"CARTRIDGE, AIR DRYER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
AD27750,FLEETGUARD,"CARTRIDGE, AIR DRYER",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
AD56413195,NILFISK,"FILTER, AIR, VACUUM",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,LOW,Generic air filter,1.0
AF24302,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF24305,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25033,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25119,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25133,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25139M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25248,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25306,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25337M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25423,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25550,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25551,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25572,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25590,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25636,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25684,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25700,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25707,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25732,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25757,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF25854,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26103,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26152,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26154,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26163M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26193,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26203,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26235,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26268,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26324,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26328M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26363,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26375,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26405,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26424,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26427,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26429,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26430,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26449,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26450,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26459,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26462,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF26472M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF26657,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27684,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27687,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27688,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27693,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27706,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27823,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27882,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27910,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF27958,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF4135,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4195,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4219,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4222,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4263,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4283,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4284,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4286,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4331,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4339,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4343,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4344,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF435KM,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4739,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF4878,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55005,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55014,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55021,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55308,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55309,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF55700,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55704,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55764,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55820,FLEETGUARD,"FILTER, AIR, CABIN, RECIRC",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55832,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
